Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate,FinishedSim
10,0.0246170026347484,0.001,,3.219,28.603603603603602,0.17696890474668253,999
25,0.0704469480170434,0.037,,5.352,28.603603603603602,0.17696890474668253,999
50,0.148291127707677,0.392,,12.63,28.603603603603602,0.17696890474668253,999
100,0.285714285714285,0.318,*,6.543,28.603603603603602,0.17696890474668253,999
200,0.47888403833855703,0.012,,0.759,28.603603603603602,0.17696890474668253,999
400,0.678581919601665,0,,0.072,28.603603603603602,0.17696890474668253,999
800,0.829068390624813,0,,0,28.603603603603602,0.17696890474668253,999
-1,NA,0.051,NA,NA,28.603603603603602,0.17696890474668253,999
999999,NA,0.188,NA,NA,28.603603603603602,0.17696890474668253,999
