Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate,FinishedSim
10,0.008,0,,3,29.937,0.17629480796980795,1000
25,0.011,0,,2.967,29.937,0.17629480796980795,1000
50,0.018,0.001,,3.021,29.937,0.17629480796980795,1000
100,0.0455,0.06,,6.621,29.937,0.17629480796980795,1000
200,0.227,0.737,*,9.627,29.937,0.17629480796980795,1000
400,0.582,0.052,,3.99,29.937,0.17629480796980795,1000
800,0.6,0.004,,0.711,29.937,0.17629480796980795,1000
-1,NA,0.017,NA,NA,29.937,0.17629480796980795,1000
999999,NA,0.129,NA,NA,29.937,0.17629480796980795,1000
