Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate,FinishedSim
10,0.0246170026347484,0.001,,3.195,27.654654654654653,0.18159089547978435,999
25,0.0704469480170434,0.034,,5.01,27.654654654654653,0.18159089547978435,999
50,0.148291127707677,0.395,,11.688,27.654654654654653,0.18159089547978435,999
100,0.285714285714285,0.354,*,6.543,27.654654654654653,0.18159089547978435,999
200,0.47888403833855703,0.019,,1.086,27.654654654654653,0.18159089547978435,999
400,0.678581919601665,0,,0.102,27.654654654654653,0.18159089547978435,999
800,0.829068390624813,0,,0.003,27.654654654654653,0.18159089547978435,999
-1,NA,0.051,NA,NA,27.654654654654653,0.18159089547978435,999
999999,NA,0.145,NA,NA,27.654654654654653,0.18159089547978435,999
