Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate,FinishedSim
10,0.0246170026347484,0,,3.081,25.926,0.2222123395123395,1000
25,0.0704469480170434,0.028,,3.702,25.926,0.2222123395123395,1000
50,0.148291127707677,0.316,,7.128,25.926,0.2222123395123395,1000
100,0.285714285714285,0.456,*,8.073,25.926,0.2222123395123395,1000
200,0.47888403833855703,0.049,,3.378,25.926,0.2222123395123395,1000
400,0.678581919601665,0,,0.528,25.926,0.2222123395123395,1000
800,0.829068390624813,0,,0.036,25.926,0.2222123395123395,1000
-1,NA,0.051,NA,NA,25.926,0.2222123395123395,1000
999999,NA,0.1,NA,NA,25.926,0.2222123395123395,1000
