Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate,FinishedSim
10,0.0246170026347484,0.001,,3.072,25.851,0.2245421421171421,1000
25,0.0704469480170434,0.027,,3.696,25.851,0.2245421421171421,1000
50,0.148291127707677,0.314,,7.02,25.851,0.2245421421171421,1000
100,0.285714285714285,0.462,*,7.905,25.851,0.2245421421171421,1000
200,0.47888403833855703,0.049,,3.549,25.851,0.2245421421171421,1000
400,0.678581919601665,0,,0.564,25.851,0.2245421421171421,1000
800,0.829068390624813,0,,0.045,25.851,0.2245421421171421,1000
-1,NA,0.051,NA,NA,25.851,0.2245421421171421,1000
999999,NA,0.096,NA,NA,25.851,0.2245421421171421,1000
