Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate,FinishedSim
10,0.0246170026347484,0,,3.108,26.2972972972973,0.20732829529125826,999
25,0.0704469480170434,0.031,,4.083,26.2972972972973,0.20732829529125826,999
50,0.148291127707677,0.303,,7.569,26.2972972972973,0.20732829529125826,999
100,0.285714285714285,0.47,*,8.799,26.2972972972973,0.20732829529125826,999
200,0.47888403833855703,0.036,,2.523,26.2972972972973,0.20732829529125826,999
400,0.678581919601665,0.001,,0.186,26.2972972972973,0.20732829529125826,999
800,0.829068390624813,0,,0.003,26.2972972972973,0.20732829529125826,999
-1,NA,0.051,NA,NA,26.2972972972973,0.20732829529125826,999
999999,NA,0.107,NA,NA,26.2972972972973,0.20732829529125826,999
