Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate
10,0.024617002634748426,0.002,,3.144,30.372,0.18437306952306953
25,0.07044694801704343,0.02,,5.496,30.372,0.18437306952306953
50,0.1482911277076776,0.366,,13.596,30.372,0.18437306952306953
100,0.2857142857142857,0.306,*,6.834,30.372,0.18437306952306953
200,0.4788840383385575,0.014,,1.182,30.372,0.18437306952306953
400,0.6785819196016653,0,,0.114,30.372,0.18437306952306953
800,0.8290683906248135,0,,0.006,30.372,0.18437306952306953
-1,NA,0.078,NA,NA,30.372,0.18437306952306953
999999,NA,0.214,NA,NA,30.372,0.18437306952306953
