Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate
10,0.024617002634748426,0.002,,3.198,32.904,0.1695943833943834
25,0.07044694801704343,0.024,,7.158,32.904,0.1695943833943834
50,0.1482911277076776,0.32,,16.2,32.904,0.1695943833943834
100,0.2857142857142857,0.19,*,5.868,32.904,0.1695943833943834
200,0.4788840383385575,0.008,,0.444,32.904,0.1695943833943834
400,0.6785819196016653,0,,0.036,32.904,0.1695943833943834
800,0.8290683906248135,0,,0,32.904,0.1695943833943834
-1,NA,0.078,NA,NA,32.904,0.1695943833943834
999999,NA,0.378,NA,NA,32.904,0.1695943833943834
