Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate,FinishedSim
10,0.0246170026347484,0,,3.06,37.557,0.24143189310689311,1000
25,0.0704469480170434,0.002,,4.08,37.557,0.24143189310689311,1000
50,0.148291127707677,0.172,,11.22,37.557,0.24143189310689311,1000
100,0.285714285714285,0.331,*,13.242,37.557,0.24143189310689311,1000
200,0.47888403833855703,0.013,,5.226,37.557,0.24143189310689311,1000
400,0.678581919601665,0,,0.672,37.557,0.24143189310689311,1000
800,0.829068390624813,0,,0.057,37.557,0.24143189310689311,1000
-1,NA,0.066,NA,NA,37.557,0.24143189310689311,1000
999999,NA,0.416,NA,NA,37.557,0.24143189310689311,1000
