Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate,FinishedSim
10,0.008,0,,3,40.608,0.21527008362008362,1000
25,0.011,0,,2.955,40.608,0.21527008362008362,1000
50,0.018,0,,3.027,40.608,0.21527008362008362,1000
100,0.0455,0.008,,8.469,40.608,0.21527008362008362,1000
200,0.227,0.533,*,14.913,40.608,0.21527008362008362,1000
400,0.582,0.011,,7.365,40.608,0.21527008362008362,1000
800,0.6,0,,0.879,40.608,0.21527008362008362,1000
-1,NA,0.021,NA,NA,40.608,0.21527008362008362,1000
999999,NA,0.427,NA,NA,40.608,0.21527008362008362,1000
