Dose,Rate,MTDFreq,MTDFlag,Npat,Noverall,DLTRate
10,0.024617002634748426,0,,3.072,29.688,0.20901144596144597
25,0.07044694801704343,0.018,,4.458,29.688,0.20901144596144597
50,0.1482911277076776,0.288,,9.66,29.688,0.20901144596144597
100,0.2857142857142857,0.416,*,9.75,29.688,0.20901144596144597
200,0.4788840383385575,0.014,,2.586,29.688,0.20901144596144597
400,0.6785819196016653,0,,0.162,29.688,0.20901144596144597
800,0.8290683906248135,0,,0,29.688,0.20901144596144597
-1,NA,0.078,NA,NA,29.688,0.20901144596144597
999999,NA,0.186,NA,NA,29.688,0.20901144596144597
