"","Dose","Rate","MTDFreq","MTDFlag","Npat","Noverall","DLTRate","FinishedSim"
"1",10,2e-04,0,"",3,32.64,0.156472390572391,1000
"2",25,0.0013,0,"",3,32.64,0.156472390572391,1000
"3",50,0.0051,0,"",3,32.64,0.156472390572391,1000
"4",100,0.02,0.003,"",3.189,32.64,0.156472390572391,1000
"5",200,0.0755,0.211,"",7.182,32.64,0.156472390572391,1000
"6",400,0.2462,0.58,"*",9.153,32.64,0.156472390572391,1000
"7",800,0.5664,0.029,"",4.116,32.64,0.156472390572391,1000
"8",999999,NA,0.177,NA,NA,32.64,0.156472390572391,1000
