"","Dose","Rate","MTDFreq","MTDFlag","Npat","Noverall","DLTRate","FinishedSim"
"1",10,0.0246170026347484,0,"",3.054,29.484,0.229971764346764,1000
"2",25,0.0704469480170434,0.011,"",3.807,29.484,0.229971764346764,1000
"3",50,0.148291127707677,0.301,"",8.445,29.484,0.229971764346764,1000
"4",100,0.285714285714285,0.401,"*",9.414,29.484,0.229971764346764,1000
"5",200,0.478884038338557,0.036,"",4.074,29.484,0.229971764346764,1000
"6",400,0.678581919601665,0,"",0.639,29.484,0.229971764346764,1000
"7",800,0.829068390624813,0,"",0.051,29.484,0.229971764346764,1000
"8",-1,NA,0.066,NA,NA,29.484,0.229971764346764,1000
"9",999999,NA,0.185,NA,NA,29.484,0.229971764346764,1000
