"","Dose","Rate","MTDFreq","MTDFlag","Npat","Noverall","DLTRate","FinishedSim"
"1",10,0.0246170026347484,0,"",3.066,29.817,0.206991173641174,1000
"2",25,0.0704469480170434,0.017,"",4.593,29.817,0.206991173641174,1000
"3",50,0.148291127707677,0.3,"",9.786,29.817,0.206991173641174,1000
"4",100,0.285714285714285,0.406,"*",9.657,29.817,0.206991173641174,1000
"5",200,0.478884038338557,0.02,"",2.55,29.817,0.206991173641174,1000
"6",400,0.678581919601665,0,"",0.162,29.817,0.206991173641174,1000
"7",800,0.829068390624813,0,"",0.003,29.817,0.206991173641174,1000
"8",-1,NA,0.066,NA,NA,29.817,0.206991173641174,1000
"9",999999,NA,0.191,NA,NA,29.817,0.206991173641174,1000
