"","Dose","Rate","MTDFreq","MTDFlag","Npat","Noverall","DLTRate","FinishedSim"
"1",10,0.008,0,"",3,31.752,0.180876283901284,1000
"2",25,0.011,0,"",2.955,31.752,0.180876283901284,1000
"3",50,0.018,0,"",3.024,31.752,0.180876283901284,1000
"4",100,0.0455,0.051,"",7.095,31.752,0.180876283901284,1000
"5",200,0.227,0.689,"*",10.539,31.752,0.180876283901284,1000
"6",400,0.582,0.039,"",4.41,31.752,0.180876283901284,1000
"7",800,0.6,0.001,"",0.729,31.752,0.180876283901284,1000
"8",-1,NA,0.021,NA,NA,31.752,0.180876283901284,1000
"9",999999,NA,0.199,NA,NA,31.752,0.180876283901284,1000
