"","Dose","Rate","MTDFreq","MTDFlag","Npat","Noverall","DLTRate","FinishedSim"
"1",10,0.4,0.047,"",3.891,5.871,0.465270827320827,1000
"2",25,0.4057,0.033,"",1.464,5.871,0.465270827320827,1000
"3",50,0.4152,0.012,"",0.474,5.871,0.465270827320827,1000
"4",100,0.4342,0,"",0.042,5.871,0.465270827320827,1000
"5",200,0.4722,0,"",0,5.871,0.465270827320827,1000
"6",400,0.5481,0,"",0,5.871,0.465270827320827,1000
"7",800,0.7,0,"",0,5.871,0.465270827320827,1000
"8",-1,NA,0.906,NA,NA,5.871,0.465270827320827,1000
"9",999999,NA,0.002,NA,NA,5.871,0.465270827320827,1000
